1537 [main] INFO  c.e.p.Practice19Application – Starting Practice19Application using Java 1.8.0_251 on LAPTOP-FID3PILK with PID 14072 (C:\Users\user\Desktop\University\4 term\Java\Practices\Practice19\target\classes started by user in C:\Users\user\Desktop\University\4 term\Java\Practices\Practice19)
1544 [main] INFO  c.e.p.Practice19Application – No active profile set, falling back to default profiles: default
2867 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
3006 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 117 ms. Found 2 JPA repository interfaces.
4294 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port(s): 8080 (http)
4310 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-8080"]
4311 [main] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
4311 [main] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/9.0.43]
4500 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
4500 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 2824 ms
4746 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
4920 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
4986 [main] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
5064 [main] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.4.28.Final
5387 [main] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
5637 [main] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
6599 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
6614 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
7052 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
7227 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor – Initializing ExecutorService 'applicationTaskExecutor'
7538 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-8080"]
7565 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port(s): 8080 (http) with context path ''
7579 [main] INFO  c.e.p.Practice19Application – Started Practice19Application in 7.009 seconds (JVM running for 9.511)
